sku,title,price,category,currency,platform,stock,alert_threshold,description
SYN-HM-001,手冲咖啡壶套装,37.50,家居厨房,EUR,tiktok,7,10,食品级材质 安心使用
SYN-CE-002,智能插座 深空黑款,98.90,消费电子,GBP,tiktok,1,10,即插即用 免驱动
SYN-OS-003,超轻睡袋,33.50,户外运动,EUR,ebay,98,10,防风防泼水 全天候
SYN-PT-004,逗猫棒套装 雾灰款,27.90,宠物用品,GBP,tiktok,9,10,易拆洗 好打理
SYN-BT-005,便携卷发棒,6.90,美妆个护,GBP,temu,9,10,小巧便携 旅行装
SYN-AP-006,运动腰包 雾灰款,28.50,服饰配件,USD,ebay,23,10,防泼水 小雨无忧
SYN-KB-007,绘本收纳架,39.99,母婴玩具,CNY,amazon,119,10,圆角设计 防磕碰
SYN-CA-008,重力车载支架,61.90,汽车配件,USD,temu,27,10,大功率 稳定输出
SYN-OF-009,人体工学腕托 薄荷绿款,4.50,办公文具,USD,amazon,3,10,静音设计 不扰同事
SYN-TL-010,三件套钳子 薄荷绿款,33.99,工具五金,USD,tiktok,191,10,收纳有序 随取随用
SYN-HM-011,折叠收纳箱 雾灰款,65.99,家居厨房,USD,shopee,182,10,小户型友好 省空间
SYN-CE-012,网络摄像头,236.90,消费电子,USD,ebay,76,20,即插即用 免驱动
SYN-OS-013,运动腰包 焦糖棕款,122.99,户外运动,USD,temu,0,10,一秒收纳 说走就走
SYN-PT-014,宠物指甲剪 深空黑款,6.99,宠物用品,USD,shopee,6,10,易拆洗 好打理
SYN-BT-015,LED 化妆镜 原木色款,15.50,美妆个护,USD,shopee,106,10,深层清洁 焕亮肌肤
SYN-AP-016,运动腰包,22.99,服饰配件,GBP,aliexpress,7,10,亲肤透气 不闷汗
SYN-KB-017,婴儿指甲护理套装,82.99,母婴玩具,GBP,aliexpress,1,10,可拆洗 常保洁净
SYN-CA-018,应急启动电源 焦糖棕款,17.90,汽车配件,GBP,tiktok,375,20,大功率 稳定输出
SYN-OF-019,桌面收纳盒 雾灰款,37.50,办公文具,GBP,shopee,173,10,静音设计 不扰同事
SYN-TL-020,三件套钳子 原木色款,15.99,工具五金,EUR,tiktok,111,10,高硬度钢 耐磨损
SYN-HM-021,双层沥水篮,20.99,家居厨房,EUR,shopee,144,10,小户型友好 省空间
SYN-CE-022,无线充电板,219.99,消费电子,USD,shopee,6,10,快充协议全兼容
SYN-OS-023,超轻睡袋 原木色款,63.90,户外运动,USD,amazon,144,10,一秒收纳 说走就走
SYN-PT-024,宠物外出背包 雾灰款,13.90,宠物用品,USD,tiktok,4,10,静音运行 不扰眠
SYN-BT-025,面膜加热仪 雾灰款,40.90,美妆个护,CNY,ebay,170,10,多档调节 随心切换
SYN-AP-026,针织围巾,35.90,服饰配件,EUR,amazon,126,10,亲肤透气 不闷汗
SYN-KB-027,软底学步鞋,51.90,母婴玩具,GBP,amazon,128,10,可拆洗 常保洁净
SYN-CA-028,真皮方向盘套 奶油白款,26.99,汽车配件,USD,amazon,5,10,车规级用料 耐高低温
SYN-OF-029,亚克力文件架 深空黑款,47.50,办公文具,EUR,tiktok,111,10,顺滑书写 不断墨
SYN-TL-030,锂电电动螺丝刀 焦糖棕款,143.99,工具五金,USD,tiktok,3,10,家用维修 一套搞定
SYN-HM-031,折叠收纳箱 原木色款,35.50,家居厨房,USD,ebay,0,5,食品级材质 安心使用
SYN-CE-032,主动降噪耳机 薄荷绿款,162.90,消费电子,USD,amazon,175,10,低延迟 长续航
SYN-OS-033,折叠露营椅,40.99,户外运动,EUR,tiktok,48,10,防风防泼水 全天候
SYN-PT-034,慢食防噎碗,47.99,宠物用品,USD,temu,60,10,环保材质 啃咬无忧
SYN-BT-035,头皮按摩梳,26.90,美妆个护,USD,ebay,178,10,温和不刺激 敏感肌友好
SYN-AP-036,防晒冰袖,36.99,服饰配件,USD,tiktok,35,10,防泼水 小雨无忧
SYN-KB-037,儿童餐椅坐垫,65.90,母婴玩具,USD,ebay,23,10,适龄设计 助力成长
SYN-CA-038,座椅缝隙收纳盒 奶油白款,117.90,汽车配件,USD,shopee,1,10,无损安装 即装即用
SYN-OF-039,曲别针收纳器,46.99,办公文具,USD,ebay,9,10,大容量 够用一学期
SYN-TL-040,自锁卷尺,24.99,工具五金,EUR,shopee,5,10,防滑手柄 安全省力
SYN-HM-041,真空保鲜盒,18.50,家居厨房,CNY,tiktok,4,10,食品级材质 安心使用
SYN-CE-042,USB-C 快充头 奶油白款,50.99,消费电子,EUR,shopee,86,5,快充协议全兼容
SYN-OS-043,骑行手套 海军蓝款,68.50,户外运动,USD,temu,156,10,轻量化设计 背负重
SYN-PT-044,逗猫棒套装 海军蓝款,39.90,宠物用品,USD,tiktok,108,10,易拆洗 好打理
SYN-BT-045,精油香薰机 薄荷绿款,48.99,美妆个护,EUR,shopee,73,5,温和不刺激 敏感肌友好
SYN-AP-046,创意钥匙扣 深空黑款,11.99,服饰配件,USD,amazon,119,10,亲肤透气 不闷汗
SYN-KB-047,软底学步鞋 原木色款 2,19.99,母婴玩具,EUR,aliexpress,114,10,适龄设计 助力成长
SYN-CA-048,车载吸尘器,33.99,汽车配件,USD,shopee,29,10,车规级用料 耐高低温
SYN-OF-049,速干中性笔套装 奶油白款,36.99,办公文具,USD,shopee,23,10,桌面清爽 效率翻倍
SYN-TL-050,强光手电筒,79.50,工具五金,EUR,tiktok,175,10,防滑手柄 安全省力
SYN-HM-051,香薰蜡烛礼盒 深空黑款,8.99,家居厨房,USD,aliexpress,50,10,食品级材质 安心使用
SYN-CE-052,智能插座 焦糖棕款,96.50,消费电子,EUR,tiktok,132,10,快充协议全兼容
SYN-OS-053,户外保温壶 深空黑款,98.90,户外运动,CNY,temu,4,10,轻量化设计 背负重
SYN-PT-054,宠物饮水机 奶油白款,22.90,宠物用品,GBP,temu,8,10,静音运行 不扰眠
SYN-BT-055,指甲护理套装 焦糖棕款,25.50,美妆个护,USD,amazon,4,10,多档调节 随心切换
SYN-AP-056,创意钥匙扣 海军蓝款,43.90,服饰配件,USD,aliexpress,2,10,亲肤透气 不闷汗
SYN-KB-057,硅胶围兜 雾灰款,47.90,母婴玩具,USD,temu,1,5,母婴级材质 啃咬安全
SYN-CA-058,全包围脚垫 奶油白款,19.99,汽车配件,USD,ebay,2,5,无损安装 即装即用
SYN-OF-059,面单打印机 雾灰款,26.90,办公文具,CNY,aliexpress,9,10,大容量 够用一学期
SYN-TL-060,强光手电筒 深空黑款,112.99,工具五金,GBP,shopee,0,10,收纳有序 随取随用
SYN-HM-061,双层沥水篮 深空黑款 2,38.99,家居厨房,EUR,tiktok,4,10,一键萃取 易清洗
SYN-CE-062,便携显示器 焦糖棕款,37.90,消费电子,USD,shopee,146,10,低延迟 长续航
SYN-OS-063,折叠露营椅 深空黑款 2,129.99,户外运动,CNY,shopee,2,10,防风防泼水 全天候
SYN-PT-064,宠物指甲剪 深空黑款 2,50.90,宠物用品,USD,tiktok,184,10,易拆洗 好打理
SYN-BT-065,精油香薰机 深空黑款,18.50,美妆个护,USD,aliexpress,185,10,多档调节 随心切换
SYN-AP-066,真丝方巾,65.50,服饰配件,CNY,amazon,163,10,亲肤透气 不闷汗
SYN-KB-067,婴儿背带,75.90,母婴玩具,USD,aliexpress,9,10,圆角设计 防磕碰
SYN-CA-068,全包围脚垫 原木色款 2,71.99,汽车配件,EUR,tiktok,74,10,专车专用 贴合原车
SYN-OF-069,面单打印机,50.50,办公文具,USD,tiktok,99,5,顺滑书写 不断墨
